timestamp,temperature,humidity,co2,light,hour,occupied
2024-01-01 00:00:00,19.44,40.96,405.58,20.11,0,0
2024-01-01 00:05:00,19.77,41.63,390.73,5.34,0,0
2024-01-01 00:10:00,18.69,42.85,416.33,0.0,0,0
2024-01-01 00:15:00,19.55,35.76,429.31,7.74,0,0
2024-01-01 00:20:00,21.28,41.18,402.44,4.85,0,0
2024-01-01 00:25:00,19.7,39.12,387.97,28.52,0,0
2024-01-01 00:30:00,19.73,39.98,395.41,13.89,0,0
2024-01-01 00:35:00,20.1,34.12,373.44,11.97,0,0
2024-01-01 00:40:00,20.11,42.65,379.82,0.0,0,0
2024-01-01 00:45:00,19.77,43.17,406.87,0.0,0,0
2024-01-01 00:50:00,20.29,42.66,417.89,17.55,0,0
2024-01-01 00:55:00,19.58,39.07,406.63,19.76,0,0
2024-01-01 01:00:00,19.91,38.77,423.59,1.02,1,0
2024-01-01 01:05:00,19.96,43.01,407.23,3.55,1,0
2024-01-01 01:10:00,20.75,41.01,467.45,0.8,1,0
2024-01-01 01:15:00,20.04,39.1,401.84,0.0,1,0
2024-01-01 01:20:00,19.73,35.51,384.21,17.44,1,0
2024-01-01 01:25:00,19.6,38.49,418.31,13.29,1,0
2024-01-01 01:30:00,20.69,40.53,393.81,16.73,1,0
2024-01-01 01:35:00,19.8,35.61,405.92,12.61,1,0
2024-01-01 01:40:00,19.68,48.69,589.05,47.11,1,1
2024-01-01 01:45:00,19.53,44.21,399.63,0.0,1,0
2024-01-01 01:50:00,20.03,47.39,396.15,13.02,1,0
2024-01-01 01:55:00,20.17,39.98,415.35,0.0,1,0
2024-01-01 02:00:00,20.4,37.27,428.06,0.0,2,0
2024-01-01 02:05:00,19.56,40.23,390.13,19.23,2,0
2024-01-01 02:10:00,20.05,38.49,368.99,10.69,2,0
2024-01-01 02:15:00,20.27,37.26,412.41,8.39,2,0
2024-01-01 02:20:00,19.61,39.03,416.27,0.0,2,0
2024-01-01 02:25:00,20.68,47.62,393.51,7.94,2,0
2024-01-01 02:30:00,20.13,42.35,375.26,0.0,2,0
2024-01-01 02:35:00,20.31,43.65,404.53,18.47,2,0
2024-01-01 02:40:00,21.62,41.2,750.97,54.74,2,1
2024-01-01 02:45:00,20.58,37.54,419.27,14.13,2,0
2024-01-01 02:50:00,19.57,40.44,372.6,2.28,2,0
2024-01-01 02:55:00,19.96,41.02,405.53,18.27,2,0
2024-01-01 03:00:00,21.37,40.28,371.87,9.65,3,0
2024-01-01 03:05:00,19.46,41.45,395.53,17.14,3,0
2024-01-01 03:10:00,21.02,49.33,586.03,57.77,3,1
2024-01-01 03:15:00,20.36,40.28,412.6,27.63,3,0
2024-01-01 03:20:00,20.03,36.57,407.16,15.61,3,0
2024-01-01 03:25:00,19.52,44.15,418.1,3.96,3,0
2024-01-01 03:30:00,20.26,51.56,411.42,21.36,3,0
2024-01-01 03:35:00,20.12,40.53,376.95,0.0,3,0
2024-01-01 03:40:00,19.76,40.25,446.29,0.0,3,0
2024-01-01 03:45:00,19.79,40.24,382.14,6.65,3,0
2024-01-01 03:50:00,19.64,42.04,385.39,12.16,3,0
2024-01-01 03:55:00,21.19,45.53,427.27,18.29,3,0
2024-01-01 04:00:00,18.99,40.56,386.76,18.52,4,0
2024-01-01 04:05:00,19.61,44.98,393.32,6.82,4,0
2024-01-01 04:10:00,20.88,41.21,374.78,19.18,4,0
2024-01-01 04:15:00,20.19,44.95,373.46,28.44,4,0
2024-01-01 04:20:00,20.63,37.88,408.88,17.75,4,0
2024-01-01 04:25:00,19.99,37.2,374.1,8.95,4,0
2024-01-01 04:30:00,20.82,35.71,391.2,11.31,4,0
2024-01-01 04:35:00,20.03,47.04,408.1,19.1,4,0
